publicFoodKey,classification,foodName,energy,protein,fatTotal,totalDietaryFibre,totalSugars,carbohydrates,calcium,iodine,magnesium,potassium,sodium,saturatedFat
F008054,23103,"Sauce, plum, commercial",958,0.1,0.8,0.6,48.2,56.5,15,0.0,24,32,950,0.41
F008055,23107,"Sauce, rogan josh, commercial",295,1.5,4.1,1.9,3.1,6.2,28,5.1,20,329,508,1.90
F008056,23104,"Sauce, salsa, tomato-based, commercial",146,1.3,0.0,1.6,4.9,6.3,36,1.0,15,270,480,0.00
F008062,23107,"Sauce, simmer for chicken, commercial",383,0.8,7.5,1.7,3.3,4.8,9,2.0,14,54,212,0.93
F008063,23107,"Sauce, simmer, curry flavoured, commercial",494,2.1,6.9,2.3,7.1,10.7,31,4.0,21,180,510,3.12
F008065,23103,"Sauce, soy, commercial",209,6.8,0.0,0.0,2.2,3.2,21,5.4,50,299,5600,0.00
F008067,23103,"Sauce, soy, commercial, reduced salt",162,5.4,0.0,0.0,1.7,2.7,17,1.5,32,180,3598,0.00
F008077,23103,"Sauce, tabasco, commercial",57,1.3,0.8,0.6,0.1,0.1,12,0.7,12,128,633,0.12
F008083,23104,"Sauce, tomato, commercial",437,1.3,0.0,1.3,23.7,24.1,13,4.6,14,292,870,0.00
F008085,23104,"Sauce, tomato, commercial, reduced salt",437,1.3,0.0,1.3,23.7,24.1,12,3.1,14,270,529,0.00
F008090,23108,"Sauce, white, savoury, homemade",748,3.9,13.5,0.2,5.1,10.8,99,21.3,12,145,130,9.21
F008094,23103,"Sauce, Worcestershire, commercial",311,1.3,0.2,0.0,16.9,17.6,160,1.0,83,890,1060,0.04
F008098,13405,"Sausage roll, commercial, ready to eat",1179,9.7,14.3,3.0,2.8,27.2,24,4.3,21,130,667,7.89
F008101,13405,"Sausage roll, purchased frozen, baked",1118,9.7,12.7,3.0,2.8,27.2,19,2.0,22,130,628,6.34
F008106,18501,"Sausage, beef, fried, no added fat",947,16.4,16.2,0.4,0.4,4.0,11,4.3,68,1003,788,7.59
F008107,18501,"Sausage, beef, grilled, no added fat",911,17.2,14.9,0.2,0.4,3.8,9,4.1,16,206,795,6.99
F008112,18501,"Sausage, beef, raw",987,14.5,18.7,0.0,0.4,2.9,12,3.9,11,240,740,8.67
F008116,18503,"Sausage, chicken, flavoured, fried, no added fat",841,18.2,12.0,0.6,0.8,4.9,19,2.7,25,224,844,3.67
F008119,18503,"Sausage, chicken, plain, fried, no added fat",841,18.2,12.0,0.6,0.8,4.9,19,2.7,25,224,736,3.67
F008125,18603,"Sausage, chorizo, fried, no added fat",1245,21.2,23.3,0.5,0.8,1.3,11,3.7,15,268,868,8.42
F008126,18603,"Sausage, chorizo, uncooked",1183,20.1,22.1,0.5,0.8,1.2,12,4.4,19,300,1100,8.00
F008136,18501,"Sausage, lamb, flavoured, fried, no added fat",946,15.6,16.1,0.4,1.3,4.9,11,4.3,68,1003,770,7.43
F008137,18501,"Sausage, lamb, plain, fried, no added fat",946,15.6,16.1,0.4,1.3,4.9,11,4.3,68,1003,1050,7.43
F008143,18501,"Sausage, pork, fried, no added fat",1083,16.5,19.4,1.4,0.7,4.5,14,3.3,20,220,763,7.87
F008151,20601,"Sausage, vegetarian style, added Fe, Zn and vitamin B12, raw",807,19.0,9.4,1.5,1.9,7.4,34,30.0,23,150,600,0.85
F008153,20601,"Sausage, vegetarian style, fried, no added fat",849,20.0,9.9,1.6,2.0,7.8,36,30.0,24,158,632,0.90
F008155,20601,"Sausage, vegetarian style, unfortified, raw",807,19.0,9.4,1.5,1.9,7.4,34,30.0,23,150,600,0.85
F009450,18606,"Sausages & vegetables, canned",283,4.0,2.1,0.9,2.2,7.8,10,7.9,9,170,320,0.86
F008165,15202,"Scallop, fried, no added fat",439,19.5,1.0,0.0,1.1,4.2,32,178.1,52,450,188,0.18
F008166,15202,"Scallop, raw",351,15.6,0.8,0.0,0.8,3.4,26,150.0,42,360,150,0.14
F008172,13307,"Scone, fruit, commercial",1361,6.4,6.6,2.6,22.9,59.3,67,5.9,24,276,712,2.43
F008173,13307,"Scone, plain, commercial",1399,7.9,8.5,2.1,6.5,55.2,70,7.8,20,110,968,3.09
F008174,13307,"Scone, plain, homemade",1350,8.0,9.4,1.4,6.8,50.7,81,14.4,25,155,560,5.94
F008176,13307,"Scone, pumpkin, homemade",1217,7.4,7.4,1.7,9.3,47.9,59,11.7,24,192,417,4.40
F008203,24404,"Seaweed, boiled, drained",228,8.4,0.8,6.2,0.0,0.4,54,337.2,56,470,83,0.16
F008204,24404,"Seaweed, nori, dried",1266,46.7,4.3,34.3,0.3,2.3,310,2200.0,320,2900,470,0.88
F008209,22101,"Seed, chia, dried",1825,23.8,29.8,33.2,0.7,3.1,530,0.0,380,720,0,2.54
F008210,22101,"Seed, linseed or flaxseed",1883,21.6,32.6,32.9,1.5,2.8,180,4.3,330,630,60,3.33
F008211,22101,"Seed, poppy",2143,18.0,41.6,19.5,3.0,8.6,1438,0.0,347,719,26,4.59
F008212,22101,"Seed, pumpkin, hulled & dried",2249,30.2,45.0,4.6,1.3,2.1,40,0.0,530,700,1,7.31
F008215,22101,"Seed, sunflower",2362,24.7,48.3,13.0,2.1,3.1,99,0.0,370,610,0,4.39
F008220,12103,"Semolina, boiled, no added fat or salt",413,3.4,0.4,1.0,0.0,19.6,6,1.1,8,36,3,0.06
F008222,12103,"Semolina, uncooked",1298,10.7,1.2,3.2,0.0,61.6,16,2.0,23,112,3,0.17
F008226,24802,"Shallot, peeled, fresh, fried, no added fat",172,2.4,0.2,4.7,5.0,5.0,153,0.4,53,435,9,0.00
F008227,24802,"Shallot, peeled, fresh, raw",107,1.5,0.1,2.9,3.1,3.1,95,0.3,33,270,6,0.00
F008233,15501,"Shark, battered, deep-fried, takeaway outlet",1090,15.5,14.5,1.3,1.5,16.5,11,3.4,24,310,295,3.39
F008236,15101,"Shark, fillet, without skin, baked, no added fat",595,33.8,0.6,0.0,0.0,0.0,13,36.0,46,473,246,0.13
F008237,15101,"Shark, fillet, without skin, raw",434,24.6,0.4,0.0,0.0,0.0,10,27.7,34,345,180,0.10
F008238,15101,"Shark, fillet, without skin, steamed, no added fat",488,27.7,0.5,0.0,0.0,0.0,9,23.3,30,310,162,0.11
F008258,15101,"Silver perch, aquacultured, baked, no added fat",1266,26.7,22.0,0.0,0.0,0.0,25,39.0,42,475,96,5.85
F008263,15101,"Silver perch, aquacultured, raw",924,19.5,16.0,0.0,0.0,0.0,18,30.0,31,347,70,4.27
F008264,15101,"Silver perch, aquacultured, steamed, no added fat",1100,23.2,19.1,0.0,0.0,0.0,22,28.6,33,351,71,5.09
F008266,24401,"Silverbeet, fresh, boiled, drained",77,1.8,0.2,2.3,1.2,1.2,80,6.9,28,260,218,0.00
F008267,24401,"Silverbeet, fresh, raw",66,1.5,0.2,2.0,1.0,1.0,72,7.3,25,260,195,0.00
F008272,13306,"Slice, brownie, chocolate, with nuts, homemade",1922,6.5,25.3,1.9,35.8,52.7,30,12.3,42,239,510,12.76
F008273,13306,"Slice, brownie, chocolate, without nuts, commercial",1735,7.1,23.1,2.6,36.3,45.6,39,7.7,31,217,130,12.98
F008278,13306,"Slice, caramel",1849,5.3,24.4,0.8,41.8,52.4,141,16.8,37,296,193,16.77
F004248,26301,"Snack, grain based, extruded, flavoured",1934,7.4,22.6,6.9,6.6,54.2,20,11.0,79,430,320,1.86
F008358,15101,"Snapper, fillet, baked, no added fat",554,27.8,2.2,0.0,0.0,0.0,168,52.0,44,615,116,0.64
F008359,15101,"Snapper, fillet, raw",404,20.3,1.6,0.0,0.0,0.0,123,40.0,32,449,85,0.46
F008360,15101,"Snapper, fillet, steamed, no added fat",554,27.8,2.2,0.0,0.0,0.0,135,41.1,35,492,93,0.64
F008371,24501,"Snow pea, fresh, boiled, drained",169,3.2,0.2,2.8,3.1,5.0,26,0.0,37,406,1,0.00
F008372,24501,"Snow pea, fresh, fried, no added fat",196,3.8,0.2,3.2,3.6,5.9,31,0.0,45,525,1,0.00
F008373,24501,"Snow pea, fresh, raw",157,3.0,0.2,2.6,2.9,4.7,25,0.0,36,420,1,0.00
F008402,11503,"Soft drink, cola flavour",206,0.0,0.2,0.0,12.3,12.3,1,0.8,0,0,2,0.00
F008403,11503,"Soft drink, cola flavour, decaffeinated",206,0.0,0.2,0.0,12.3,12.3,1,0.8,0,0,2,0.00
F008404,11504,"Soft drink, cola flavour, intense sweetened or diet",0,0.0,0.0,0.0,0.0,0.0,1,0.8,0,0,3,0.00
F008405,11504,"Soft drink, cola flavour, intense sweetened or diet, decaffeinated",0,0.0,0.0,0.0,0.0,0.0,1,0.8,0,0,3,0.00
F008421,11603,"Soft drink, energy drink, Red Bull",182,0.1,0.0,0.0,10.8,10.8,9,0.0,0,0,71,0.00
F008424,11603,"Soft drink, energy drink, V",182,0.1,0.0,0.0,10.8,10.8,9,0.0,0,0,110,0.00
F008438,11501,"Soft drink, fruit flavours",142,0.0,0.0,0.0,8.8,8.8,2,1.7,0,1,14,0.00
F008439,11502,"Soft drink, fruit flavours, intense sweetened or diet",1,0.0,0.0,0.0,0.0,0.0,2,1.7,0,1,14,0.00
F008460,11501,"Soft drink, tonic water",142,0.0,0.0,0.0,8.8,8.8,1,0.7,0,0,12,0.00
